,datetime,values
0,1994-10-24 13:00:00-06:00,33
1,1994-10-24 14:00:00-06:00,87
2,1994-10-24 15:00:00-06:00,192
3,1994-10-24 16:00:00-06:00,106
4,1994-10-24 17:00:00-06:00,73
5,1994-10-24 18:00:00-06:00,44
6,1994-10-24 19:00:00-06:00,89
7,1994-10-24 20:00:00-06:00,8
8,1994-10-24 21:00:00-06:00,12
9,1994-10-24 22:00:00-06:00,28
10,1994-10-24 23:00:00-06:00,33
11,1994-10-25 00:00:00-06:00,12
12,1994-10-25 01:00:00-06:00,18
13,1994-10-25 02:00:00-06:00,0
14,1994-10-25 03:00:00-06:00,12
15,1994-10-25 04:00:00-06:00,33
16,1994-10-25 05:00:00-06:00,5
17,1994-10-25 06:00:00-06:00,3
18,1994-10-25 07:00:00-06:00,26
19,1994-10-25 08:00:00-06:00,22
20,1994-10-25 09:00:00-06:00,75
21,1994-10-25 10:00:00-06:00,128
22,1994-10-25 11:00:00-06:00,58
23,1994-10-25 12:00:00-06:00,86
24,1994-10-25 13:00:00-06:00,39
25,1994-10-25 14:00:00-06:00,48
26,1994-10-25 15:00:00-06:00,165
27,1994-10-25 16:00:00-06:00,128
28,1994-10-25 17:00:00-06:00,42
29,1994-10-25 18:00:00-06:00,40
30,1994-10-25 19:00:00-06:00,40
31,1994-10-25 20:00:00-06:00,84
32,1994-10-25 21:00:00-06:00,50
33,1994-10-25 22:00:00-06:00,13
34,1994-10-25 23:00:00-06:00,67
35,1994-10-26 00:00:00-06:00,144
36,1994-10-26 01:00:00-06:00,1
37,1994-10-26 02:00:00-06:00,9
38,1994-10-26 03:00:00-06:00,8
39,1994-10-26 04:00:00-06:00,7
40,1994-10-26 05:00:00-06:00,1
41,1994-10-26 06:00:00-06:00,11
42,1994-10-26 07:00:00-06:00,23
43,1994-10-26 08:00:00-06:00,21
44,1994-10-26 09:00:00-06:00,122
45,1994-10-26 10:00:00-06:00,49
46,1994-10-26 11:00:00-06:00,98
47,1994-10-26 12:00:00-06:00,126
48,1994-10-26 13:00:00-06:00,93
