,datetime,values
0,1995-08-28 00:00:00-04:00,8478
1,1995-08-28 01:00:00-04:00,6313
2,1995-08-28 02:00:00-04:00,6484
3,1995-08-28 03:00:00-04:00,5790
4,1995-08-28 04:00:00-04:00,4635
5,1995-08-28 05:00:00-04:00,4778
6,1995-08-28 06:00:00-04:00,4887
7,1995-08-28 07:00:00-04:00,5964
8,1995-08-28 08:00:00-04:00,7524
9,1995-08-28 09:00:00-04:00,9224
10,1995-08-28 10:00:00-04:00,12053
11,1995-08-28 11:00:00-04:00,13890
12,1995-08-28 12:00:00-04:00,14497
13,1995-08-28 13:00:00-04:00,14279
14,1995-08-28 14:00:00-04:00,14817
15,1995-08-28 15:00:00-04:00,16871
16,1995-08-28 16:00:00-04:00,16007
17,1995-08-28 17:00:00-04:00,14535
18,1995-08-28 18:00:00-04:00,13446
19,1995-08-28 19:00:00-04:00,12680
20,1995-08-28 20:00:00-04:00,10888
21,1995-08-28 21:00:00-04:00,11467
22,1995-08-28 22:00:00-04:00,10887
23,1995-08-28 23:00:00-04:00,10933
24,1995-08-29 00:00:00-04:00,8767
25,1995-08-29 01:00:00-04:00,8103
26,1995-08-29 02:00:00-04:00,7346
27,1995-08-29 03:00:00-04:00,4913
28,1995-08-29 04:00:00-04:00,4432
29,1995-08-29 05:00:00-04:00,4719
30,1995-08-29 06:00:00-04:00,5303
31,1995-08-29 07:00:00-04:00,6475
32,1995-08-29 08:00:00-04:00,9321
33,1995-08-29 09:00:00-04:00,10678
34,1995-08-29 10:00:00-04:00,13282
35,1995-08-29 11:00:00-04:00,12914
36,1995-08-29 12:00:00-04:00,15334
37,1995-08-29 13:00:00-04:00,16257
38,1995-08-29 14:00:00-04:00,17360
39,1995-08-29 15:00:00-04:00,17008
40,1995-08-29 16:00:00-04:00,18059
41,1995-08-29 17:00:00-04:00,16428
42,1995-08-29 18:00:00-04:00,14304
43,1995-08-29 19:00:00-04:00,13615
44,1995-08-29 20:00:00-04:00,11099
45,1995-08-29 21:00:00-04:00,11030
46,1995-08-29 22:00:00-04:00,10409
47,1995-08-29 23:00:00-04:00,10263
48,1995-08-30 00:00:00-04:00,9174
49,1995-08-30 01:00:00-04:00,7961
50,1995-08-30 02:00:00-04:00,6815
51,1995-08-30 03:00:00-04:00,5236
52,1995-08-30 04:00:00-04:00,5218
53,1995-08-30 05:00:00-04:00,4884
54,1995-08-30 06:00:00-04:00,4824
55,1995-08-30 07:00:00-04:00,6664
56,1995-08-30 08:00:00-04:00,8894
57,1995-08-30 09:00:00-04:00,10540
58,1995-08-30 10:00:00-04:00,13034
59,1995-08-30 11:00:00-04:00,14460
60,1995-08-30 12:00:00-04:00,15823
61,1995-08-30 13:00:00-04:00,16416
62,1995-08-30 14:00:00-04:00,18085
63,1995-08-30 15:00:00-04:00,17606
64,1995-08-30 16:00:00-04:00,17229
65,1995-08-30 17:00:00-04:00,15169
66,1995-08-30 18:00:00-04:00,15560
67,1995-08-30 19:00:00-04:00,13648
68,1995-08-30 20:00:00-04:00,12482
69,1995-08-30 21:00:00-04:00,12397
70,1995-08-30 22:00:00-04:00,11146
71,1995-08-30 23:00:00-04:00,10176
72,1995-08-31 00:00:00-04:00,8833
73,1995-08-31 01:00:00-04:00,5943
74,1995-08-31 02:00:00-04:00,6631
75,1995-08-31 03:00:00-04:00,6009
76,1995-08-31 04:00:00-04:00,5786
77,1995-08-31 05:00:00-04:00,4968
78,1995-08-31 06:00:00-04:00,5071
79,1995-08-31 07:00:00-04:00,5807
80,1995-08-31 08:00:00-04:00,8716
81,1995-08-31 09:00:00-04:00,10755
82,1995-08-31 10:00:00-04:00,12655
83,1995-08-31 11:00:00-04:00,15307
84,1995-08-31 12:00:00-04:00,15398
85,1995-08-31 13:00:00-04:00,15457
86,1995-08-31 14:00:00-04:00,15672
87,1995-08-31 15:00:00-04:00,16309
88,1995-08-31 16:00:00-04:00,16325
