,datetime,values
0,1995-07-01 00:00:00-04:00,3565
1,1995-07-01 01:00:00-04:00,3004
2,1995-07-01 02:00:00-04:00,2268
3,1995-07-01 03:00:00-04:00,1734
4,1995-07-01 04:00:00-04:00,1482
5,1995-07-01 05:00:00-04:00,1343
6,1995-07-01 06:00:00-04:00,1528
7,1995-07-01 07:00:00-04:00,1557
8,1995-07-01 08:00:00-04:00,1927
9,1995-07-01 09:00:00-04:00,2096
10,1995-07-01 10:00:00-04:00,3046
11,1995-07-01 11:00:00-04:00,3428
12,1995-07-01 12:00:00-04:00,2769
13,1995-07-01 13:00:00-04:00,3086
14,1995-07-01 14:00:00-04:00,3133
15,1995-07-01 15:00:00-04:00,3272
16,1995-07-01 16:00:00-04:00,3191
17,1995-07-01 17:00:00-04:00,3671
18,1995-07-01 18:00:00-04:00,3192
19,1995-07-01 19:00:00-04:00,2831
20,1995-07-01 20:00:00-04:00,2958
21,1995-07-01 21:00:00-04:00,3502
22,1995-07-01 22:00:00-04:00,3278
23,1995-07-01 23:00:00-04:00,2853
24,1995-07-02 00:00:00-04:00,2858
25,1995-07-02 01:00:00-04:00,2570
26,1995-07-02 02:00:00-04:00,2056
27,1995-07-02 03:00:00-04:00,1505
28,1995-07-02 04:00:00-04:00,1286
29,1995-07-02 05:00:00-04:00,1291
30,1995-07-02 06:00:00-04:00,1293
31,1995-07-02 07:00:00-04:00,1229
32,1995-07-02 08:00:00-04:00,1432
33,1995-07-02 09:00:00-04:00,1895
34,1995-07-02 10:00:00-04:00,2124
35,1995-07-02 11:00:00-04:00,2450
36,1995-07-02 12:00:00-04:00,3106
37,1995-07-02 13:00:00-04:00,2915
38,1995-07-02 14:00:00-04:00,3063
39,1995-07-02 15:00:00-04:00,2738
40,1995-07-02 16:00:00-04:00,3155
41,1995-07-02 17:00:00-04:00,3537
42,1995-07-02 18:00:00-04:00,3186
43,1995-07-02 19:00:00-04:00,2790
44,1995-07-02 20:00:00-04:00,2961
45,1995-07-02 21:00:00-04:00,3381
46,1995-07-02 22:00:00-04:00,3730
47,1995-07-02 23:00:00-04:00,3714
48,1995-07-03 00:00:00-04:00,3016
49,1995-07-03 01:00:00-04:00,2395
50,1995-07-03 02:00:00-04:00,2205
51,1995-07-03 03:00:00-04:00,2041
52,1995-07-03 04:00:00-04:00,1539
53,1995-07-03 05:00:00-04:00,1750
54,1995-07-03 06:00:00-04:00,1703
55,1995-07-03 07:00:00-04:00,2862
56,1995-07-03 08:00:00-04:00,3672
57,1995-07-03 09:00:00-04:00,4810
58,1995-07-03 10:00:00-04:00,4529
59,1995-07-03 11:00:00-04:00,4791
60,1995-07-03 12:00:00-04:00,5535
61,1995-07-03 13:00:00-04:00,6020
62,1995-07-03 14:00:00-04:00,5515
63,1995-07-03 15:00:00-04:00,5610
64,1995-07-03 16:00:00-04:00,5388
65,1995-07-03 17:00:00-04:00,4545
66,1995-07-03 18:00:00-04:00,3444
67,1995-07-03 19:00:00-04:00,3712
68,1995-07-03 20:00:00-04:00,3760
69,1995-07-03 21:00:00-04:00,3832
70,1995-07-03 22:00:00-04:00,3197
71,1995-07-03 23:00:00-04:00,3713
72,1995-07-04 00:00:00-04:00,3143
73,1995-07-04 01:00:00-04:00,2821
74,1995-07-04 02:00:00-04:00,2530
75,1995-07-04 03:00:00-04:00,1993
76,1995-07-04 04:00:00-04:00,1743
77,1995-07-04 05:00:00-04:00,1733
78,1995-07-04 06:00:00-04:00,1709
79,1995-07-04 07:00:00-04:00,2172
80,1995-07-04 08:00:00-04:00,3006
81,1995-07-04 09:00:00-04:00,3059
82,1995-07-04 10:00:00-04:00,3583
83,1995-07-04 11:00:00-04:00,3584
84,1995-07-04 12:00:00-04:00,3402
85,1995-07-04 13:00:00-04:00,3550
86,1995-07-04 14:00:00-04:00,3278
87,1995-07-04 15:00:00-04:00,4174
88,1995-07-04 16:00:00-04:00,3579
89,1995-07-04 17:00:00-04:00,3693
90,1995-07-04 18:00:00-04:00,2912
91,1995-07-04 19:00:00-04:00,2955
92,1995-07-04 20:00:00-04:00,2683
93,1995-07-04 21:00:00-04:00,2671
94,1995-07-04 22:00:00-04:00,2941
95,1995-07-04 23:00:00-04:00,3538
96,1995-07-05 00:00:00-04:00,2505
97,1995-07-05 01:00:00-04:00,2032
98,1995-07-05 02:00:00-04:00,1933
99,1995-07-05 03:00:00-04:00,1998
100,1995-07-05 04:00:00-04:00,1479
101,1995-07-05 05:00:00-04:00,1634
102,1995-07-05 06:00:00-04:00,1821
103,1995-07-05 07:00:00-04:00,2996
104,1995-07-05 08:00:00-04:00,3824
105,1995-07-05 09:00:00-04:00,4456
106,1995-07-05 10:00:00-04:00,4974
107,1995-07-05 11:00:00-04:00,6175
108,1995-07-05 12:00:00-04:00,6165
109,1995-07-05 13:00:00-04:00,5115
110,1995-07-05 14:00:00-04:00,8034
111,1995-07-05 15:00:00-04:00,6757
112,1995-07-05 16:00:00-04:00,7211
113,1995-07-05 17:00:00-04:00,4726
114,1995-07-05 18:00:00-04:00,4243
115,1995-07-05 19:00:00-04:00,3988
116,1995-07-05 20:00:00-04:00,3134
117,1995-07-05 21:00:00-04:00,3137
118,1995-07-05 22:00:00-04:00,3206
119,1995-07-05 23:00:00-04:00,3032
120,1995-07-06 00:00:00-04:00,2658
121,1995-07-06 01:00:00-04:00,1948
122,1995-07-06 02:00:00-04:00,1805
123,1995-07-06 03:00:00-04:00,1539
124,1995-07-06 04:00:00-04:00,1429
125,1995-07-06 05:00:00-04:00,1652
126,1995-07-06 06:00:00-04:00,1830
127,1995-07-06 07:00:00-04:00,2755
128,1995-07-06 08:00:00-04:00,4200
129,1995-07-06 09:00:00-04:00,5011
130,1995-07-06 10:00:00-04:00,5815
131,1995-07-06 11:00:00-04:00,6422
132,1995-07-06 12:00:00-04:00,6405
133,1995-07-06 13:00:00-04:00,6926
134,1995-07-06 14:00:00-04:00,6924
135,1995-07-06 15:00:00-04:00,7061
136,1995-07-06 16:00:00-04:00,6678
137,1995-07-06 17:00:00-04:00,5479
138,1995-07-06 18:00:00-04:00,4787
139,1995-07-06 19:00:00-04:00,4227
140,1995-07-06 20:00:00-04:00,4060
141,1995-07-06 21:00:00-04:00,3480
142,1995-07-06 22:00:00-04:00,3961
143,1995-07-06 23:00:00-04:00,3908
144,1995-07-07 00:00:00-04:00,2691
145,1995-07-07 01:00:00-04:00,2639
146,1995-07-07 02:00:00-04:00,2189
147,1995-07-07 03:00:00-04:00,1590
148,1995-07-07 04:00:00-04:00,1361
149,1995-07-07 05:00:00-04:00,959
150,1995-07-07 06:00:00-04:00,1168
151,1995-07-07 07:00:00-04:00,2320
152,1995-07-07 08:00:00-04:00,4843
153,1995-07-07 09:00:00-04:00,5406
154,1995-07-07 10:00:00-04:00,5944
155,1995-07-07 11:00:00-04:00,6536
156,1995-07-07 12:00:00-04:00,6784
157,1995-07-07 13:00:00-04:00,5962
158,1995-07-07 14:00:00-04:00,4714
159,1995-07-07 15:00:00-04:00,5752
160,1995-07-07 16:00:00-04:00,5449
161,1995-07-07 17:00:00-04:00,4999
162,1995-07-07 18:00:00-04:00,3333
163,1995-07-07 19:00:00-04:00,2554
164,1995-07-07 20:00:00-04:00,2680
