,datetime,values
0,1995-06-01 00:00:00-06:00,65
1,1995-06-01 01:00:00-06:00,16
2,1995-06-01 02:00:00-06:00,37
3,1995-06-01 03:00:00-06:00,76
4,1995-06-01 04:00:00-06:00,57
5,1995-06-01 05:00:00-06:00,70
6,1995-06-01 06:00:00-06:00,94
7,1995-06-01 07:00:00-06:00,70
8,1995-06-01 08:00:00-06:00,144
9,1995-06-01 09:00:00-06:00,408
10,1995-06-01 10:00:00-06:00,482
11,1995-06-01 11:00:00-06:00,514
12,1995-06-01 12:00:00-06:00,299
13,1995-06-01 13:00:00-06:00,424
14,1995-06-01 14:00:00-06:00,490
15,1995-06-01 15:00:00-06:00,440
16,1995-06-01 16:00:00-06:00,305
17,1995-06-01 17:00:00-06:00,269
18,1995-06-01 18:00:00-06:00,266
19,1995-06-01 19:00:00-06:00,182
20,1995-06-01 20:00:00-06:00,203
21,1995-06-01 21:00:00-06:00,246
22,1995-06-01 22:00:00-06:00,224
23,1995-06-01 23:00:00-06:00,208
24,1995-06-02 00:00:00-06:00,93
25,1995-06-02 01:00:00-06:00,99
26,1995-06-02 02:00:00-06:00,82
27,1995-06-02 03:00:00-06:00,88
28,1995-06-02 04:00:00-06:00,178
29,1995-06-02 05:00:00-06:00,149
30,1995-06-02 06:00:00-06:00,215
31,1995-06-02 07:00:00-06:00,272
32,1995-06-02 08:00:00-06:00,418
33,1995-06-02 09:00:00-06:00,578
34,1995-06-02 10:00:00-06:00,436
35,1995-06-02 11:00:00-06:00,502
36,1995-06-02 12:00:00-06:00,417
37,1995-06-02 13:00:00-06:00,494
38,1995-06-02 14:00:00-06:00,713
39,1995-06-02 15:00:00-06:00,535
40,1995-06-02 16:00:00-06:00,348
41,1995-06-02 17:00:00-06:00,234
42,1995-06-02 18:00:00-06:00,335
43,1995-06-02 19:00:00-06:00,240
44,1995-06-02 20:00:00-06:00,252
45,1995-06-02 21:00:00-06:00,229
46,1995-06-02 22:00:00-06:00,189
47,1995-06-02 23:00:00-06:00,123
48,1995-06-03 00:00:00-06:00,149
49,1995-06-03 01:00:00-06:00,110
50,1995-06-03 02:00:00-06:00,42
51,1995-06-03 03:00:00-06:00,58
52,1995-06-03 04:00:00-06:00,42
53,1995-06-03 05:00:00-06:00,79
54,1995-06-03 06:00:00-06:00,59
55,1995-06-03 07:00:00-06:00,105
56,1995-06-03 08:00:00-06:00,100
57,1995-06-03 09:00:00-06:00,303
58,1995-06-03 10:00:00-06:00,243
59,1995-06-03 11:00:00-06:00,172
60,1995-06-03 12:00:00-06:00,184
61,1995-06-03 13:00:00-06:00,248
62,1995-06-03 14:00:00-06:00,227
63,1995-06-03 15:00:00-06:00,272
64,1995-06-03 16:00:00-06:00,242
65,1995-06-03 17:00:00-06:00,221
66,1995-06-03 18:00:00-06:00,205
67,1995-06-03 19:00:00-06:00,234
68,1995-06-03 20:00:00-06:00,239
69,1995-06-03 21:00:00-06:00,181
70,1995-06-03 22:00:00-06:00,172
71,1995-06-03 23:00:00-06:00,138
72,1995-06-04 00:00:00-06:00,113
73,1995-06-04 01:00:00-06:00,48
74,1995-06-04 02:00:00-06:00,113
75,1995-06-04 03:00:00-06:00,55
76,1995-06-04 04:00:00-06:00,68
77,1995-06-04 05:00:00-06:00,118
78,1995-06-04 06:00:00-06:00,114
79,1995-06-04 07:00:00-06:00,93
80,1995-06-04 08:00:00-06:00,124
81,1995-06-04 09:00:00-06:00,100
82,1995-06-04 10:00:00-06:00,191
83,1995-06-04 11:00:00-06:00,142
84,1995-06-04 12:00:00-06:00,190
85,1995-06-04 13:00:00-06:00,176
86,1995-06-04 14:00:00-06:00,243
87,1995-06-04 15:00:00-06:00,246
88,1995-06-04 16:00:00-06:00,237
89,1995-06-04 17:00:00-06:00,122
90,1995-06-04 18:00:00-06:00,154
91,1995-06-04 19:00:00-06:00,178
92,1995-06-04 20:00:00-06:00,245
93,1995-06-04 21:00:00-06:00,279
94,1995-06-04 22:00:00-06:00,152
95,1995-06-04 23:00:00-06:00,137
96,1995-06-05 00:00:00-06:00,111
97,1995-06-05 01:00:00-06:00,43
98,1995-06-05 02:00:00-06:00,124
99,1995-06-05 03:00:00-06:00,112
100,1995-06-05 04:00:00-06:00,60
101,1995-06-05 05:00:00-06:00,225
102,1995-06-05 06:00:00-06:00,217
103,1995-06-05 07:00:00-06:00,204
104,1995-06-05 08:00:00-06:00,280
105,1995-06-05 09:00:00-06:00,514
106,1995-06-05 10:00:00-06:00,559
107,1995-06-05 11:00:00-06:00,669
108,1995-06-05 12:00:00-06:00,556
109,1995-06-05 13:00:00-06:00,433
110,1995-06-05 14:00:00-06:00,603
111,1995-06-05 15:00:00-06:00,462
112,1995-06-05 16:00:00-06:00,603
113,1995-06-05 17:00:00-06:00,136
114,1995-06-05 18:00:00-06:00,0
115,1995-06-05 19:00:00-06:00,187
116,1995-06-05 20:00:00-06:00,240
117,1995-06-05 21:00:00-06:00,242
118,1995-06-05 22:00:00-06:00,211
119,1995-06-05 23:00:00-06:00,187
120,1995-06-06 00:00:00-06:00,160
121,1995-06-06 01:00:00-06:00,119
122,1995-06-06 02:00:00-06:00,110
123,1995-06-06 03:00:00-06:00,123
124,1995-06-06 04:00:00-06:00,116
125,1995-06-06 05:00:00-06:00,98
126,1995-06-06 06:00:00-06:00,178
127,1995-06-06 07:00:00-06:00,489
128,1995-06-06 08:00:00-06:00,362
129,1995-06-06 09:00:00-06:00,480
130,1995-06-06 10:00:00-06:00,542
131,1995-06-06 11:00:00-06:00,538
132,1995-06-06 12:00:00-06:00,660
133,1995-06-06 13:00:00-06:00,715
134,1995-06-06 14:00:00-06:00,775
135,1995-06-06 15:00:00-06:00,808
136,1995-06-06 16:00:00-06:00,664
137,1995-06-06 17:00:00-06:00,307
138,1995-06-06 18:00:00-06:00,247
139,1995-06-06 19:00:00-06:00,398
140,1995-06-06 20:00:00-06:00,313
141,1995-06-06 21:00:00-06:00,300
142,1995-06-06 22:00:00-06:00,213
143,1995-06-06 23:00:00-06:00,215
144,1995-06-07 00:00:00-06:00,144
145,1995-06-07 01:00:00-06:00,144
146,1995-06-07 02:00:00-06:00,98
147,1995-06-07 03:00:00-06:00,87
148,1995-06-07 04:00:00-06:00,122
149,1995-06-07 05:00:00-06:00,240
150,1995-06-07 06:00:00-06:00,158
151,1995-06-07 07:00:00-06:00,276
152,1995-06-07 08:00:00-06:00,398
153,1995-06-07 09:00:00-06:00,473
154,1995-06-07 10:00:00-06:00,578
155,1995-06-07 11:00:00-06:00,429
156,1995-06-07 12:00:00-06:00,569
157,1995-06-07 13:00:00-06:00,512
158,1995-06-07 14:00:00-06:00,676
159,1995-06-07 15:00:00-06:00,536
160,1995-06-07 16:00:00-06:00,491
161,1995-06-07 17:00:00-06:00,347
162,1995-06-07 18:00:00-06:00,280
163,1995-06-07 19:00:00-06:00,302
164,1995-06-07 20:00:00-06:00,367
165,1995-06-07 21:00:00-06:00,257
166,1995-06-07 22:00:00-06:00,235
167,1995-06-07 23:00:00-06:00,200
168,1995-06-08 00:00:00-06:00,198
